Timestamp,Currency_Name,Rate_to_RUB
2023-03-21 12:00:00,Австралийский доллар,51.621
2023-03-21 12:00:00,Дирхам ОАЭ,21.0303
2023-03-21 12:00:00,Армянский драм,0.1988
2023-03-21 12:00:00,Доллар США,77.2422
2023-03-21 12:00:00,Фунт стерлингов Соединенного королевства,93.772
2023-03-21 12:00:00,Южнокорейская вона,0.0589
2023-03-21 12:00:00,Грузинский лари,29.9388
2023-03-21 12:00:00,Канадский доллар,56.2416
2023-03-21 12:00:00,Казахстанский тенге,0.1676
2023-03-21 12:00:00,Японская иена,0.5825
2023-03-22 12:00:00,Армянский драм,0.1979
2023-03-22 12:00:00,Дирхам ОАЭ,20.9212
2023-03-22 12:00:00,Канадский доллар,56.1923
2023-03-22 12:00:00,Фунт стерлингов Соединенного королевства,94.1641
2023-03-22 12:00:00,Шведская крона,7.4238
2023-03-22 12:00:00,Белорусский рубль,26.8634
2023-03-22 12:00:00,Турецкая лира,4.0422
2023-03-22 12:00:00,Швейцарский франк,82.915
2023-03-22 12:00:00,Евро,82.5428
2023-03-22 12:00:00,Австралийский доллар,51.4118
2023-03-22 12:00:00,Польский злотый,17.6354
2023-03-22 12:00:00,Китайский юань,11.1652
2023-03-22 12:00:00,Индийская рупия,0.9329
2023-03-22 12:00:00,Грузинский лари,29.8247
2023-03-22 12:00:00,Казахстанский тенге,0.1662
2023-03-22 12:00:00,Японская иена,0.5795
2023-03-22 12:00:00,Сингапурский доллар,57.3927
2023-03-22 12:00:00,Южнокорейская вона,0.0586
2023-03-22 12:00:00,Доллар США,76.8373
2023-03-23 12:00:00,Швейцарский франк,83.4846
2023-03-23 12:00:00,Канадский доллар,56.1477
2023-03-23 12:00:00,Грузинский лари,29.8719
2023-03-23 12:00:00,Индийская рупия,0.9329
2023-03-23 12:00:00,Фунт стерлингов Соединенного королевства,93.8557
2023-03-23 12:00:00,Казахстанский тенге,0.1664
2023-03-23 12:00:00,Сингапурский доллар,57.5674
2023-03-23 12:00:00,Австралийский доллар,51.5221
2023-03-23 12:00:00,Южнокорейская вона,0.0588
2023-03-23 12:00:00,Дирхам ОАЭ,20.9541
2023-03-23 12:00:00,Шведская крона,7.4354
2023-03-23 12:00:00,Японская иена,0.5811
2023-03-23 12:00:00,Евро,82.967
2023-03-23 12:00:00,Белорусский рубль,26.9077
2023-03-23 12:00:00,Доллар США,76.9561
2023-03-23 12:00:00,Турецкая лира,4.0464
2023-03-23 12:00:00,Китайский юань,11.1547
2023-03-23 12:00:00,Польский злотый,17.7277
2023-03-23 12:00:00,Армянский драм,0.1983
2023-03-24 12:00:00,Белорусский рубль,26.7557
2023-03-24 12:00:00,Канадский доллар,55.6499
2023-03-24 12:00:00,Казахстанский тенге,0.165
2023-03-24 12:00:00,Шведская крона,7.4421
2023-03-24 12:00:00,Армянский драм,0.1965
2023-03-24 12:00:00,Фунт стерлингов Соединенного королевства,93.339
2023-03-24 12:00:00,Дирхам ОАЭ,20.778
2023-03-24 12:00:00,Южнокорейская вона,0.0597
2023-03-24 12:00:00,Доллар США,76.3072
2023-03-24 12:00:00,Сингапурский доллар,57.5903
2023-03-24 12:00:00,Австралийский доллар,51.4387
